,campaign_id,campaign_name,campaign_launch_date,campaign_end_date
0,CAMP_3a7188eb,Spring Data Boost,2026-02-09,2026-02-27
1,CAMP_6ec8dcc3,Flash Bundle Blitz,2026-01-20,2026-03-14
2,CAMP_71790c70,Flash Bundle Blitz,2026-01-29,2026-03-04
3,CAMP_3a7188eb,Spring Data Boost,2026-02-24,2026-04-14
4,CAMP_3a7188eb,Spring Data Boost,2026-02-06,2026-03-01
5,CAMP_5ca4a2f6,Flash Bundle Blitz,2026-02-12,2026-04-01
6,CAMP_568269e4,Loyalty Reward Drive,2026-03-01,2026-03-22
7,CAMP_5ca4a2f6,Flash Bundle Blitz,2026-03-01,2026-04-30
8,CAMP_3a7188eb,Spring Data Boost,2026-01-30,2026-02-16
9,CAMP_568269e4,Loyalty Reward Drive,2026-03-08,2026-04-08
10,CAMP_6ec8dcc3,Flash Bundle Blitz,2026-01-26,2026-02-03
11,CAMP_568269e4,Loyalty Reward Drive,2026-02-11,2026-04-02
12,CAMP_6ec8dcc3,Flash Bundle Blitz,2026-02-23,2026-04-01
13,CAMP_6ec8dcc3,Flash Bundle Blitz,2026-01-30,2026-01-31
14,CAMP_568269e4,Loyalty Reward Drive,2026-01-25,2026-02-12
15,CAMP_3a7188eb,Spring Data Boost,2026-02-12,2026-04-13
16,CAMP_71790c70,Flash Bundle Blitz,2026-03-01,2026-03-08
17,CAMP_3a7188eb,Spring Data Boost,2026-02-06,2026-02-28
18,CAMP_71790c70,Flash Bundle Blitz,2026-02-19,2026-03-16
19,CAMP_6ec8dcc3,Flash Bundle Blitz,2026-01-30,2026-03-18
20,CAMP_568269e4,Loyalty Reward Drive,2026-03-02,2026-04-17
21,CAMP_568269e4,Loyalty Reward Drive,2026-03-02,2026-04-22
22,CAMP_6ec8dcc3,Flash Bundle Blitz,2026-01-30,2026-03-04
23,CAMP_568269e4,Loyalty Reward Drive,2026-01-24,2026-02-03
24,CAMP_6ec8dcc3,Flash Bundle Blitz,2026-01-27,2026-03-03
25,CAMP_3a7188eb,Spring Data Boost,2026-01-09,2026-02-10
26,CAMP_568269e4,Loyalty Reward Drive,2026-01-14,2026-02-25
27,CAMP_6ec8dcc3,Flash Bundle Blitz,2026-01-11,2026-02-24
28,CAMP_5ca4a2f6,Flash Bundle Blitz,2026-03-07,2026-04-25
29,CAMP_568269e4,Loyalty Reward Drive,2026-01-15,2026-02-17
